노선ID,노선번호,정류소순번,정류소명,노드ID
5290702000,남구2,53,LG메트로시티입구,180520101
5200020000,20,65,용문중학교,180520201
5200022000,22,91,용문중학교,180520201
5200024000,24,50,용문중학교,180520201
5200027000,27,68,용문중학교,180520201
5200039000,39,58,용문중학교,180520201
5200131000,131,69,용문중학교,180520201
5200020000,20,8,남부운전면허시험장,180520401
5200022000,22,11,남부운전면허시험장,180520401
5200024000,24,14,남부운전면허시험장,180520401
5200027000,27,14,남부운전면허시험장,180520401
5200039000,39,77,남부운전면허시험장,180520401
5200131000,131,87,남부운전면허시험장,180520401
5200583000,583,52,남부운전면허시험장,180520401
5290702000,남구2,25,남부운전면허시험장,180520402
5290708000,남구8,43,솔밭공원,180530101
5290709000,남구9,52,솔밭공원,180530101
5200068000,68,99,유엔공원.부산문화회관,180540101
5200134000,134,95,유엔공원.부산문화회관,180540101
5200138000,138,63,유엔공원.부산문화회관,180540101
5200138100,138-1,73,유엔공원.부산문화회관,180540101
5200138000,138,76,부산박물관.부산문화회관,180540301
5200138100,138-1,86,부산박물관.부산문화회관,180540301
5203001000,3001,24,부산박물관.부산문화회관,180540301
5200138000,138,62,부산박물관.부산문화회관,180550101
5200138100,138-1,72,부산박물관.부산문화회관,180550101
5203001000,3001,31,부산박물관.부산문화회관,180550101
5290709000,남구9,41,부산박물관.부산문화회관,180550102
5291506000,사상구6,57,부산박물관.부산문화회관,180550102
5200068000,68,7,부산박물관,180560301
5200101000,101,48,부산박물관,180560301
5200134000,134,7,부산박물관,180560301
5290706000,남구6,34,남부산농협석포지점,180560302
5200020000,20,64,남부운전면허시험장,180570101
5200022000,22,90,남부운전면허시험장,180570101
5200024000,24,49,남부운전면허시험장,180570101
5200027000,27,67,남부운전면허시험장,180570101
5200039000,39,57,남부운전면허시험장,180570101
5200131000,131,68,남부운전면허시험장,180570101
5200583000,583,7,남부운전면허시험장,180570101
5290702000,남구2,52,남부운전면허시험장,180570102
5290708000,남구8,33,더비치푸르지오써밋 102동앞,180620301
5290708000,남구8,19,부산도시가스,180620401
5290702000,남구2,56,하이츠자이아파트,180630101
5290702000,남구2,22,LG메트로시티214동,180630201
5200022000,22,17,못골시장,180640201
5200027000,27,20,못골시장,180640201
5200040000,40,48,못골시장,180640201
5200041000,41,21,못골시장,180640201
5200042000,42,42,못골시장,180640201
5201001000,1001,26,못골시장,180640201
5201003000,1003,38,못골시장,180640201
5201003F00,1003-F,46,못골시장,180640201
5200024000,24,20,못골시장,180640202
5200083000,83,13,못골시장,180640202
5200083100,83-1,21,못골시장,180640202
5200108000,108,14,못골시장,180640202
5200138000,138,78,못골시장,180640202
5290701000,남구1,36,못골시장,180640203
5290701000,남구1,11,경림유통,180670101
5200010000,10,75,대연초등학교,180680101
5200101000,101,68,대연초등학교,180680101
5291506000,사상구6,76,대연초등학교,180680102
5290701000,남구1,8,글로리빌딩,180690101
5290701000,남구1,37,동원로얄듀크아파트,180690301
5290709000,남구9,21,동원로얄듀크아파트,180690301
5200010000,10,49,대연역,180700101
5200022000,22,86,대연역,180700101
5200024000,24,45,대연역,180700101
5200027000,27,63,대연역,180700101
5200040000,40,103,대연역,180700101
5200041000,41,62,대연역,180700101
5200042000,42,69,대연역,180700101
5200051000,51,73,대연역,180700101
5200083000,83,40,대연역,180700101
5200083100,83-1,90,대연역,180700101
5200108000,108,90,대연역,180700101
5200040000,40,104,경성대학교,180700102
5200042000,42,70,경성대학교,180700102
5200051000,51,74,경성대학교,180700102
5201001000,1001,64,경성대학교,180700102
5201003000,1003,75,경성대학교,180700102
5201003F00,1003-F,84,경성대학교,180700102
5290701000,남구1,13,경성대학교,180700103
5290702000,남구2,48,경성대학교,180700103
5291506000,사상구6,53,경성대학교,180700103
5290701000,남구1,12,대연동제일은행,180700104
5290702000,남구2,47,대연동제일은행,180700104
5291506000,사상구6,52,대연동제일은행,180700104
5200010000,10,74,대연사거리(대연역),180700201
5291506000,사상구6,75,대연우체국,180700301
5200038000,38,115,동부변전소,180710101
5200583000,583,45,동부변전소,180710101
5200038000,38,44,경동메르빌,180710401
5200038000,38,108,경동메르빌,180710401
5200583000,583,15,경동메르빌,180710401
5200583000,583,38,경동메르빌,180710401
5290701000,남구1,21,경동메르빌,180710402
5290701000,남구1,28,영웅주유소,180720101
5200038000,38,43,성모병원.대남초등학교입구,180720201
5200038000,38,107,성모병원.대남초등학교입구,180720201
5200583000,583,14,성모병원.대남초등학교입구,180720201
5200583000,583,37,성모병원.대남초등학교입구,180720201
5200010000,10,47,대연교회,180740101
5200101000,101,44,대연교회,180740101
5200010000,10,48,대연초등학교,180740102
5200101000,101,45,대연초등학교,180740102
5291506000,사상구6,50,대연교회,180740103
5291506000,사상구6,51,대연초등학교,180740104
5200010000,10,76,대연교회,180740301
5200101000,101,69,대연교회,180740301
5291506000,사상구6,77,대연교회,180740302
5200041000,41,63,경성대.부경대역,180750101
5200083000,83,41,경성대.부경대역,180750101
5200083100,83-1,91,경성대.부경대역,180750101
5200108000,108,91,경성대.부경대역,180750101
5290701000,남구1,14,경성대.부경대역,180750102
5200010000,10,50,경성대학교입구,180750201
5200020000,20,61,경성대학교입구,180750201
5200022000,22,87,경성대학교입구,180750201
5200024000,24,46,경성대학교입구,180750201
5200027000,27,64,경성대학교입구,180750201
5200039000,39,54,경성대학교입구,180750201
5200131000,131,65,경성대학교입구,180750201
5200155000,155,54,경성대학교입구,180750201
5200010000,10,51,부경대대연캠퍼스,180750202
5200020000,20,62,부경대대연캠퍼스,180750202
5200022000,22,88,부경대대연캠퍼스,180750202
5200024000,24,47,부경대대연캠퍼스,180750202
5200027000,27,65,부경대대연캠퍼스,180750202
5200039000,39,55,부경대대연캠퍼스,180750202
5200131000,131,66,부경대대연캠퍼스,180750202
5200155000,155,55,부경대대연캠퍼스,180750202
5290702000,남구2,49,경성대학교입구,180750203
5290702000,남구2,50,부경대대연캠퍼스,180750204
5291506000,사상구6,54,부경대대연캠퍼스,180750204
5200010000,10,73,경성대학교,180750301
5200022000,22,15,경성대학교,180750301
5200024000,24,18,경성대학교,180750301
5200027000,27,18,경성대학교,180750301
5200040000,40,46,경성대학교,180750301
5200041000,41,19,경성대학교,180750301
5200042000,42,40,경성대학교,180750301
