노선번호,노선ID,버스종류,기점,종점,첫차,막차,기본배차,평일배차,출퇴근배차,휴일배차
50,5200050000,일반버스,덕계,법원검찰청,04:50,22:00,10,17,13,18
506,5200506000,일반버스,반여4동,부산시민공원,05:20,22:40,15,14,10,16
508,5200508000,일반버스,고신대영도캠퍼스,중앙공원.민주공원,05:00,23:16,10,10,7,13
51,5200051000,일반버스,금정공영차고지,감만2동,04:50,21:20,7-8,8,6,9
52,5200052000,일반버스,반여3동,수정4동,05:00,22:20,9,9,5,10
520,5200520000,일반버스,강서공영차고지,서부지원.서부지청,05:00,20:50,24,64,60,64
54,5200054000,일반버스,연산9동,전포동,04:50,22:30,10,9,5,9
55,5200055000,일반버스,강서공영차고지,하단,05:00,21:00,,37,37,46
57,5200057000,일반버스,사직동,진시장,04:25,22:30,4-7,12,8,12
58,5200058000,일반버스,강서공영차고지,장림동원로얄듀크,05:00,21:30,26,50,50,50
58-1,5200058100,일반버스,강서공영차고지,하단역,04:30,21:40,10,33,27,37
